Giai doan,STT,Hang muc,Chi tiet,Nguoi chiu trach nhiem,Check,Ghi chu
===== A. PHOI HOP (T-7 ngay) =====,,,,,,
A. Phoi hop,A1,Xac nhan dia diem + ten truong,Dia chi cu the - so phong - so tang,PM,,
A. Phoi hop,A2,Xac nhan ngay gio trien khai,Thong nhat voi doi tac / truong,PM,,
A. Phoi hop,A3,Dau moi lien he phia doi tac,Ten + SĐT can bo ky thuat tai diem,PM,,
A. Phoi hop,A4,Dau moi lien he truong / bao ve,Ten + SĐT de vao cong,PM,,
A. Phoi hop,A5,So luong phong can cai,1 phong hay nhieu phong - xac nhan ro,PM,,
A. Phoi hop,A6,Xac nhan nhan su di trien khai,Danh sach nguoi di + vai tro,PM,,
A. Phoi hop,A7,Dat xe / phuong tien di lai,Xe cong ty hoac tu tuc,PM,,
===== B. HA TANG DOI TAC CHUAN BI (T-3 ngay) =====,,,,,,
B. Server bien,B1,May chu co san,CPU i5-12400+ / 6 nhan 12 luong,Doi tac,,
B. Server bien,B2,RAM 32GB DDR4 (2x16GB),Thuong chi co 16GB - can bo sung 1 thanh 16GB,Doi tac,,Hay thieu - kiem ky
B. Server bien,B3,SSD 512GB NVMe PCIe 4.0,Kiem dung loai va dung lượng,Doi tac,,
B. Server bien,B4,He dieu hanh Ubuntu 22.04,Phai cai goc - KHONG chap nhan Windows,Doi tac,,Hay thieu - kiem ky
B. Server bien,B5,Quyen Admin / Remote da cap,SSH hoac phuong an truy cap tu xa,Doi tac,,
B. May GV,B6,Laptop/PC GV co san,i5 Gen 10+ / RAM 8GB+ / SSD 256GB+,Doi tac / Truong,,GV hay dung may ca nhan
B. May GV,B7,Man hinh Full HD + cong HDMI/VGA,Ket noi ra Smart Board / Tivi,Doi tac / Truong,,
B. May GV,B8,Windows 10/11 + Webcam + Mic,Kiem tra truoc,Doi tac / Truong,,
B. May HS,B9,So luong may HS du,Theo hop dong (VD: 10 may/phong),Doi tac,,
B. May HS,B10,Cau hinh may HS dat yeu cau,i3-12100+ / 8GB RAM / 128GB SSD / FHD,Doi tac,,
B. May HS,B11,HĐH Windows da cai san,Windows 10/11 Home hoac Pro,Doi tac,,
B. Mang,B12,Router chinh,Ruijie Reyee RG-EG105G-V3 hoac tuong duong,Doi tac,,
B. Mang,B13,Switch 24 cong Gigabit (x2),Ruijie Reyee RG-ES226GC hoac tuong duong,Doi tac,,
B. Mang,B14,Day mang LAN CAT6a,600-800m da di am tuong / mang cap,Doi tac,,
B. Mang,B15,Internet WAN >= 100Mbps,Cap quang - de update noi dung + thu vien,Doi tac,,
B. Mang,B16,Wifi Access Point (neu dung Laptop/Tablet),Chiu tai cao - chuyen dung,Doi tac,,
B. Hien thi,B17,Smart Board / Tivi / May chieu,Xac nhan loai + co cap ket noi HDMI/VGA,Doi tac / Truong,,
B. Dien,B18,He thong dien on dinh,On ap / UPS cho Server la loi the,Doi tac / Truong,,
===== C. EDULIVE CHUAN BI (T-2 ngay) =====,,,,,,
C. Phan mem,C1,Bo cai Server bien (sv253),Da build + test PASS truoc khi di,BE (Dien),,KHONG mang ban chua test
C. Phan mem,C2,Bo cai STEM Room GV (EDL750s),Version moi nhat,BE,,
C. Phan mem,C3,Bo cai STEM Room HS (EDL760s),Version moi nhat,BE,,
C. Phan mem,C4,File license,Dung so luong GV + HS theo hop dong,PM,,
C. Phan mem,C5,Kiem tra version bo cai,Khop voi version da test QC,QC,,
C. Router,C6,Router Edulive da cau hinh,Toai cai + test VPN/SSH truoc,Toai,,
C. Router,C7,Test ket noi VPN/SSH thanh cong,Remote duoc vao router,Toai,,
C. Router,C8,Gui router truoc T-1 ngay,Chuyen phat nhanh hoac mang truc tiep,Toai,,
C. Tai lieu,C9,Bien ban ban giao nghiem thu (ban in),In san 2 ban - 2 ben ky,PM,,
C. Tai lieu,C10,Danh sach license (ban in),So luong GV/HS + ma license,PM,,
C. Tai lieu,C11,HDSD cho Giao vien,Ban in hoac PDF tren USB,PM / Content,,
C. Tai lieu,C12,So hotline ho tro,Cap 1: Doi tac / Cap 2: Edulive,PM,,
C. Cong cu,C13,Laptop ky thuat vien,Co SSH client + PuTTY + WinSCP,KTV,,
C. Cong cu,C14,USB boot Ubuntu 22.04,Phong TH Server chua cai OS,KTV,,
C. Cong cu,C15,USB chua bo cai + license,Backup ngoai USB rieng,KTV,,
C. Cong cu,C16,Day mang du phong,2-3 soi (3m + 5m),KTV,,
C. Cong cu,C17,O cam dien + day noi dai,It nhat 1 o cam 5 lo + 5m day,KTV,,
C. Cong cu,C18,Bo demo du phong (sv17),Phong truong hop tai truong co van de,KTV,,Tuy truong hop
C. Nhan su,C19,Ky thuat vien chinh,Cai server + phan mem,PM xep,,
C. Nhan su,C20,Nguoi dao tao / demo,HDSD cho GV - co the GV content di cung,PM xep,,
C. Nhan su,C21,Xac nhan lich trinh 2 ngay,Ngay 1: Cai+Test / Ngay 2: Dao tao,PM,,
===== D. NGAY 1 - CAI DAT & TEST =====,,,,,,
D. Kiem tra,D1,Bat Server bien - kiem tra cau hinh,RAM + SSD + OS thuc te,KTV,,
D. Kiem tra,D2,Neu OS khong phai Ubuntu → cai tu USB,Cai Ubuntu 22.04 tu USB boot,KTV,,
D. Kiem tra,D3,Kiem tra mang LAN,Ping giua cac may - kiem tra toc do,KTV,,
D. Kiem tra,D4,Kiem tra Internet,Test speed >= 100Mbps,KTV,,
D. Kiem tra,D5,Kiem tra thiet bi hien thi,Ket noi thu may GV → Smart Board,KTV,,
D. Cai dat,D6,Cai Router Edulive,Neu chua cai truoc tu xa,KTV,,
D. Cai dat,D7,Cai bo cai Server bien (sv253),Len Local Server,KTV (BE),,
D. Cai dat,D8,Cau hinh mang noi bo,DHCP + DNS + routing,KTV (BE),,
D. Cai dat,D9,Cai STEM Room len may GV,EDL750s + nhap license,KTV,,
D. Cai dat,D10,Cai STEM Room len cac may HS,EDL760s + nhap license,KTV,,
D. Cai dat,D11,Kiem tra ket noi,May HS → Server bien → May GV,KTV,,
D. Test,D12,GV tao lop hoc thu,,KTV + GV,,
D. Test,D13,GV giao bai giang / bai tap,,KTV + GV,,
D. Test,D14,HS nhan bai + lam bai + nop bai,,KTV + HS,,
D. Test,D15,Kiem tra thong ke: GV thay ket qua HS,,KTV,,
D. Test,D16,Test OFFLINE: tat internet - chay lai cac buoc,,KTV,,Quan trong!
D. Test,D17,Test dong bo: bat lai internet - kiem tra sync Cloud,,KTV,,
D. Test,D18,Test Audio/Video trong bai giang,,KTV,,
D. Test,D19,Test STEM tuong tac (neu co),,KTV,,
D. Ghi nhan,D20,Log cac loi gap phai,Chup man hinh + ghi chi tiet,KTV + QC,,
D. Ghi nhan,D21,Ghi nhan cau hinh khac yeu cau,De bao cao ve cong ty,KTV,,
===== E. NGAY 2 - DAO TAO & BAN GIAO =====,,,,,,
E. Dao tao,E1,Huong dan dang nhap + tao lop,,Dao tao vien,,
E. Dao tao,E2,Huong dan tao bai giang + giao bai,,Dao tao vien,,
E. Dao tao,E3,Huong dan xem thong ke ket qua HS,,Dao tao vien,,
E. Dao tao,E4,Huong dan xu ly loi co ban,Khoi dong lai + ket noi lai,Dao tao vien,,
E. Dao tao,E5,Tra loi cau hoi cua GV,,Dao tao vien,,
E. Ban giao,E6,Ky bien ban ban giao nghiem thu,2 ben ky - ghi ro thong tin,PM + Doi tac,,
E. Ban giao,E7,Ghi ro: so may + so license + version PM,,PM,,
E. Ban giao,E8,Ban giao tai lieu HDSD cho truong,,PM,,
E. Ban giao,E9,Thong bao so hotline ho tro,Cap 1: Doi tac / Cap 2: Edulive,PM,,
E. Ban giao,E10,Chup anh phong hoc hoan thanh,Luu ho so du an,PM / KTV,,
===== F. SAU TRIEN KHAI (T+1 ~ T+7) =====,,,,,,
F. Follow-up,F1,Lien he truong/doi tac sau 1-2 ngay,Hoi tinh hinh su dung,PM,,
F. Follow-up,F2,Xu ly loi phat sinh (neu co),Qua remote / VPN,BE,,
F. Follow-up,F3,Cap nhat PROJECT_BOARD → DONE,,PM,,
F. Follow-up,F4,Bao cao ket qua trien khai,Gui PM / Head,PM,,
F. Follow-up,F5,Luu checklist da tick vao ho so,,PM,,
